policy,target,train_seed,unsafe_rate,false_alarm_rate,realized_escalation,conditional_risk,miss_rate
nn_margin,0.1,4301,0.14885131036529103,0.027195234231010553,0.10016666666666667,0.2398738212908412,0.22200334959253973
nn_margin,0.2,4101,0.12088822003095126,0.015199702117585196,0.20823333333333333,0.21201427384778182,0.1750302602236494
nn_margin,0.2,4201,0.12246084522568397,0.015676198619920957,0.2023,0.21361386507319238,0.17758388803261743
nn_margin,0.2,4301,0.12171473836925026,0.01563747647885229,0.20416666666666666,0.2128674632616576,0.1764027097071275
nn_spread,0.05,4101,0.16963259913935202,0.041577966565835095,0.04603333333333333,0.2617576630319013,0.26115305745840556
nn_spread,0.05,4201,0.16946171276184444,0.04060619163409267,0.047966666666666664,0.26131545895093683,0.260555871568549
nn_spread,0.05,4301,0.169724351201893,0.03830985613507961,0.0492,0.2611101148538612,0.26098111957810166
nn_spread,0.1,4101,0.16188892461283017,0.03755494403414354,0.09476666666666667,0.25535876982563516,0.24893704282158613
nn_spread,0.1,4201,0.16178786075686305,0.036937232631353824,0.09733333333333333,0.25514637358672226,0.24859828366651737
nn_spread,0.1,4301,0.16252437754760984,0.03402768833900656,0.098,0.25507699644321147,0.24944345940025103
nn_spread,0.2,4101,0.14548000704545266,0.031858411234191766,0.19336666666666666,0.2414657279449085,0.22298277160511953
nn_spread,0.2,4201,0.14591218342154985,0.030603984715800035,0.19746666666666668,0.24187065089087992,0.22393890273701691
nn_spread,0.2,4301,0.1470175114203477,0.026029884179259312,0.2001,0.24141660445151714,0.22448359029710518
phy_d,0.05,4101,0.0027903175482859575,0.0018648198348624842,0.22101136363636364,0.009878666623704162,0.004594150178639069
phy_d,0.05,4201,0.0027074977573225455,0.001847479029183344,0.22142651515151515,0.009636328554343408,0.0044399637950729865
phy_d,0.05,4301,0.0029949910044614206,0.00196416486593818,0.21929696969696968,0.010401022112749164,0.00499355962271226
phy_d,0.1,4101,0.0005673177982517977,0.0007679595858721363,0.2537462121212121,0.0026674350745855896,0.0007521467651572871
phy_d,0.1,4201,0.0006130824322970401,0.0007819178153568144,0.2513818181818182,0.0028608695712983223,0.0008183687225549674
phy_d,0.1,4301,0.0006366312815968924,0.0008093776771576258,0.2504136363636364,0.0029518755081234817,0.0008532578865306704
phy_d,0.2,4101,9.583467920573562e-05,0.00012084358071894774,0.3170037878787879,0.0004308172235001159,0.00012546778036257803
phy_d,0.2,4201,0.0001049855991541947,0.00013640098661973788,0.31260303030303027,0.00047524633805498106,0.0001372618781137076
phy_d,0.2,4301,0.00010265286102391743,0.00013640098661973788,0.3142606060606061,0.0004609373209382697,0.00013434079890020835
phy_min,0.05,4101,0.1552347486980755,0.031439139229773,0.059759090909090914,0.24443658851002062,0.2317884976423386
phy_min,0.05,4201,0.15431912554187424,0.030986764776155876,0.0623560606060606,0.24346188950285713,0.2300531260237671
phy_min,0.05,4301,0.15677165791096617,0.03280140799962983,0.054877272727272726,0.24611364894055163,0.2346161876365514
phy_min,0.1,4101,0.1328431663319561,0.017700102135536966,0.13304545454545455,0.22085727100133914,0.19190548072627228
phy_min,0.1,4201,0.13491235431610005,0.018996286205180724,0.12555378787878788,0.22299634093399087,0.1953908108456763
phy_min,0.1,4301,0.1345043451191169,0.018778084133239246,0.12709242424242423,0.22260025445209683,0.19472745001175376
phy_min,0.2,4101,0.10054169524184153,0.004807765787379607,0.2567628787878788,0.1861636007875582,0.1395476623553191
phy_min,0.2,4201,0.10248358158457667,0.005243583707989891,0.24894545454545453,0.18830941674657614,0.14255009923855333
phy_min,0.2,4301,0.10220277969701999,0.00518541445733305,0.25006666666666666,0.18800334084823078,0.14214010784729864
physics_approval_only,0.05,4101,0.0012305772149208182,0.007522456725684136,0.044509090909090915,0.005191351411658421,0.0018366261599672734
physics_approval_only,0.05,4201,0.0012944015910447393,0.007522456725684136,0.04344848484848485,0.005413577063284922,0.0019445153450645023
physics_approval_only,0.05,4301,0.0014113122910990607,0.007522456725684136,0.04223030303030303,0.005786612289544744,0.002152772780092875
physics_approval_only,0.1,4101,0.00021977445273511516,0.007522456725684136,0.08442121212121212,0.0010974781695806159,0.00028338187857691595
physics_approval_only,0.1,4201,0.00023214973254692727,0.007522456725684136,0.08208257575757576,0.00116800549438745,0.00029939472193311515
physics_approval_only,0.1,4301,0.000230570580216772,0.007522456725684136,0.08218409090909091,0.001156207649758303,0.0002974754820159583
physics_approval_only,0.2,4101,1.9265561178525757e-05,0.007522456725684136,0.1612310606060606,0.00010920783586090909,2.4595068046036366e-05
physics_approval_only,0.2,4201,1.9265561178525757e-05,0.007522456725684136,0.16152424242424243,0.00010920783586090909,2.4595068046036366e-05
physics_approval_only,0.2,4301,1.9265561178525757e-05,0.007522456725684136,0.1617590909090909,0.00010920783586090909,2.4595068046036366e-05
physics_only_abs_margin,0.05,4101,0.002823419455460767,0.003384618809652513,0.04506439393939394,0.009822129355478134,0.0048840259664641
physics_only_abs_margin,0.05,4201,0.0027627493940397025,0.0033334047511243575,0.04568939393939394,0.00964322135538639,0.004772100117327984
physics_only_abs_margin,0.05,4301,0.003016213797333256,0.003509297567882548,0.04336363636363637,0.010352908726968054,0.005276670732122341
physics_only_abs_margin,0.1,4101,0.000577868475314531,0.0016419279504015652,0.08902575757575758,0.002773835749709382,0.0007653640010358902
physics_only_abs_margin,0.1,4201,0.000619845230571894,0.00167513191433505,0.08609166666666668,0.0029514327421475113,0.0008266535908027644
physics_only_abs_margin,0.1,4301,0.0006464243829020492,0.0017164515760200703,0.08461590909090909,0.0030571545519353636,0.0008651125760826977
physics_only_abs_margin,0.2,4101,0.00010152582317486516,0.00033716843348564467,0.17156363636363636,0.0004874902947455743,0.00013183556170089471
physics_only_abs_margin,0.2,4201,0.00011067674312332424,0.0003702116911713803,0.16594772727272727,0.000532055000062794,0.00014362965945202423
physics_only_abs_margin,0.2,4301,0.00010834400499304697,0.0003601642464153159,0.16801363636363637,0.0005176741649588871,0.000140708580238525
physics_residual_margin,0.05,4101,0.00016610725651821514,0.0008775422881816788,0.04430075757575758,0.0005870748900967772,0.0002928471046346045
physics_residual_margin,0.05,4201,0.00017450459066655229,0.0008333283158701577,0.044903030303030306,0.0006711266637376197,0.0002762016188621864
physics_residual_margin,0.05,4301,0.0002122533225272947,0.0008743227521382591,0.03918939393939394,0.0006911800939465099,0.0004069486048457705
physics_residual_margin,0.1,4101,5.6192716466688644e-05,0.00021880511935256665,0.08620681818181819,0.00022480992718403104,8.348948062257879e-05
physics_residual_margin,0.1,4201,7.430847944546515e-05,0.0002854405356925189,0.0828128787878788,0.00030117094421634543,0.00010190925553042576
physics_residual_margin,0.1,4301,6.370241883940455e-05,0.00023853003504421895,0.0829310606060606,0.00024166451482675758,9.75895435754659e-05
