policy,target,topology_id,unsafe_rate,false_alarm_rate,realized_escalation,conditional_risk,miss_rate
classifier_conf,0.1,close36_open25,0.00011111111111111112,0.06840599606797738,0.10235555555555556,0.00016135939931607776,0.0004228077870603889
classifier_conf,0.2,close32_open01,0.41960000000000003,0.0006372765559638444,0.2003111111111111,0.7019830935950009,0.5105875301615429
classifier_conf,0.2,close32_open03,0.26126666666666665,0.00013168225010638888,0.2003111111111111,0.4397665558531556,0.39160818293696403
classifier_conf,0.2,close32_open04,0.24925555555555556,0.0001275220241916,0.2003111111111111,0.4202906444471004,0.3798519325066543
classifier_conf,0.2,close32_open05,2.2222222222222223e-05,0.020614228483102577,0.2003111111111111,3.1764691523966666e-05,7.767315656974445e-05
classifier_conf,0.2,close32_open06,7.777777777777778e-05,0.042099390024683846,0.2003111111111111,0.00011129648187786667,0.00028825048479948884
classifier_conf,0.2,close32_open18,0.0009555555555555555,8.888604944971112e-05,0.2003111111111111,0.0015316443497095334,0.0025333750400917667
classifier_conf,0.2,close32_open19,0.00012222222222222224,8.728565960477777e-05,0.2003111111111111,0.0001927990926842222,0.0003338051179602889
classifier_conf,0.2,close33_open08,0.0,8.247161160267778e-05,0.2003111111111111,0.0,0.0
classifier_conf,0.2,close33_open10,0.0,0.00021286453194096667,0.2003111111111111,0.0,0.0
classifier_conf,0.2,close33_open13,0.0,0.0002775523598329111,0.2003111111111111,0.0,0.0
classifier_conf,0.2,close34_open01,0.5414511287108793,0.010959543494350089,0.2003111111111111,0.8499758801354685,0.5993545937161532
classifier_conf,0.2,close34_open02,0.42194444444444446,0.0006832239613707,0.2003111111111111,0.7017953521705229,0.5141785891771089
classifier_conf,0.2,close34_open04,0.3887,0.00021046011260582222,0.2003111111111111,0.6471251465005632,0.49326864664342224
classifier_conf,0.2,close34_open06,2.2222222222222223e-05,0.05452357752369465,0.2003111111111111,3.131281203611111e-05,8.850264936962222e-05
classifier_conf,0.2,close34_open07,0.0005777777777777778,0.036746117522981986,0.2003111111111111,0.0008377766634803112,0.002031040004554089
classifier_conf,0.2,close34_open08,0.0010666666666666665,0.0308228365790071,0.2003111111111111,0.0015592552995383558,0.003611933333986522
classifier_conf,0.2,close34_open09,0.0022666666666666664,0.025582701118729997,0.2003111111111111,0.003346558232286189,0.0073775821505348005
classifier_conf,0.2,close34_open10,0.003777777777777778,0.02138889092659641,0.2003111111111111,0.0056308680491156445,0.011865456311776488
classifier_conf,0.2,close34_open17,0.03552222222222222,9.79496663592e-05,0.2003111111111111,0.059415314315747675,0.08117287722266489
classifier_conf,0.2,close34_open18,0.013911111111111112,9.296134173714445e-05,0.2003111111111111,0.0228546752311499,0.03433532582870687
classifier_conf,0.2,close34_open19,0.0033777777777777777,9.016764492040001e-05,0.2003111111111111,0.005458756222223845,0.008780501697076755
classifier_conf,0.2,close35_open05,0.3679111111111111,9.35504364788e-05,0.2003111111111111,0.6090399126991993,0.4816818902393083
classifier_conf,0.2,close35_open06,0.28236666666666665,0.00017262364996112223,0.2003111111111111,0.46900813549267756,0.4150797891274959
classifier_conf,0.2,close35_open08,0.14632222222222221,0.00012154004557637777,0.2003111111111111,0.24385915927063553,0.2678843033140643
classifier_conf,0.2,close35_open09,0.11988888888888888,0.0001145780523673889,0.2003111111111111,0.1992078061185102,0.23143479715482776
classifier_conf,0.2,close35_open10,0.09667777777777778,0.00013068511115989998,0.2003111111111111,0.16022384822066663,0.19601430938528505
classifier_conf,0.2,close35_open11,0.06671111111111111,0.00018472439913528888,0.2003111111111111,0.11019924313410337,0.14462575662627453
classifier_conf,0.2,close35_open12,0.060733333333333334,0.00010060269623108888,0.2003111111111111,0.09955282307132084,0.13475033370876813
classifier_conf,0.2,close35_open13,0.011600000000000001,0.00016191594787267775,0.2003111111111111,0.01846747465235931,0.03024414517560242
classifier_conf,0.2,close35_open14,0.002488888888888889,0.00020882918294186665,0.2003111111111111,0.0038895025265919666,0.006865726043528244
classifier_conf,0.2,close35_open15,0.0002666666666666667,0.00013641947758172223,0.2003111111111111,0.0004095715382534333,0.0007638514210709445
classifier_conf,0.2,close35_open16,0.0006666666666666666,8.488834837276666e-05,0.2003111111111111,0.0010191365169011444,0.0019241487989385
classifier_conf,0.2,close35_open24,0.3733,0.00010012097462741112,0.2003111111111111,0.62887029457238,0.47878479199588153
classifier_conf,0.2,close35_open25,0.3545777777777778,9.296129697735554e-05,0.2003111111111111,0.5988403022525981,0.4650468525822238
classifier_conf,0.2,close35_open26,0.3365666666666667,0.00012899981016934443,0.2003111111111111,0.5700790314595534,0.4510690987709433
classifier_conf,0.2,close35_open27,0.3181111111111111,0.00012112668833753334,0.2003111111111111,0.5406318967601194,0.43593531628124355
classifier_conf,0.2,close35_open29,0.10293333333333334,0.00013692217989216666,0.2003111111111111,0.1749711596680218,0.2000376455895388
classifier_conf,0.2,close36_open03,0.24168888888888887,0.00012576545404079998,0.2003111111111111,0.4085144503611308,0.3718010022461024
classifier_conf,0.2,close36_open04,0.22903333333333334,0.00012155450111293336,0.2003111111111111,0.3880445523426708,0.3585434434822205
classifier_conf,0.2,close36_open21,0.15131111111111112,0.00012537435579534442,0.2003111111111111,0.25585564635252106,0.2702734112846716
