policy,physics_variant,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
conservative_and,impedance_1.05,0.2,2.7843832980818684e-05,0.00035555555555555557,2.4308479445465153e-05,3.0369085506071214e-05,0.01185398236543243,0.11034980045861138,0.011511828648278469,0.01219990845622731,0.1659686868686869,0.21864444444444445,0.16347651515151515,0.16891969696969697,0.00012098000799838105,0.0013146582581881,0.00010635760036945607,0.00013139749444686513,3.687499625594545e-05,0.0004889390425035666,3.217017047474469e-05,4.0237888383001516e-05,44,396,110,19354,3953055
conservative_and,impedance_1.1,0.05,0.00010821651531300252,0.0011111111111111111,0.00010644883854532575,0.00011023671733320455,0.07093499346143713,0.22726697427840822,0.0701673613989219,0.07193316335547309,0.04348055555555556,0.05929999999999999,0.042184848484848485,0.04443409090909091,0.0005463439826220185,0.004734250483859511,0.0005376947508971008,0.0005558474544398295,0.0001416149337733778,0.0014887739458320443,0.0001392918342437235,0.00014431118039305682,44,396,427,124489,3953055
conservative_and,impedance_1.1,0.1,5.1965842376801e-05,0.0005888888888888888,5.019816560912424e-05,5.398604439700303e-05,0.04185689376788963,0.18448501516403928,0.04048576313853509,0.04292974213651263,0.08386616161616162,0.11448888888888889,0.08194545454545454,0.0862340909090909,0.00024967952611902475,0.002829739021367,0.00024108654949016894,0.00025952240292314243,6.827789935172399e-05,0.0007554155651957889,6.597697246942727e-05,7.090110935562349e-05,44,396,205,68990,3953055
conservative_and,impedance_1.1,0.2,1.2692317829303537e-05,0.0002111111111111111,1.1429691566677273e-05,1.4459994596980302e-05,0.010594982596778765,0.10682843323336898,0.010188233773601986,0.011036657612804049,0.16314823232323236,0.2213,0.16073939393939396,0.1660340909090909,5.7934055601289135e-05,0.0007928802895818222,5.27170706903856e-05,6.523543536361743e-05,1.6777277589727526e-05,0.00028920517698435556,1.509800537064697e-05,1.913081306320909e-05,44,396,50,13989,3953055
conservative_and,impedance_1.2,0.05,3.243332432830101e-05,0.00039999999999999996,3.1884237021222726e-05,3.2707867981840154e-05,0.1537047029354868,0.3364043451007977,0.15298097245663406,0.15471036979399108,0.04171414141414142,0.059111111111111114,0.040391666666666666,0.042643939393939394,0.0001787509856369227,0.0018724799552004333,0.00016987003409641593,0.00018333552350221515,4.284777999865732e-05,0.0005491234388688,4.224031006234469e-05,4.315151496681363e-05,44,396,128,271149,3953055
conservative_and,impedance_1.2,0.1,1.6985247122232827e-05,0.00022222222222222223,1.597514611213182e-05,1.749029762728333e-05,0.12380431392505219,0.2839677704418556,0.12219241367739195,0.1250542618481804,0.08047121212121212,0.11422222222222222,0.07866287878787878,0.08271515151515152,8.820770484193788e-05,0.0010198104729935,8.402539376927349e-05,9.034367980675681e-05,2.2568947757426265e-05,0.0002981812684793667,2.111904474109394e-05,2.3293899265592423e-05,44,396,67,214553,3953055
conservative_and,impedance_1.2,0.2,3.0303030303030305e-06,6.666666666666667e-05,3.0303030303030305e-06,3.0303030303030305e-06,0.07218495657586979,0.19383268010395033,0.07050342283777307,0.07365844367600942,0.15626767676767675,0.22397777777777778,0.15396666666666667,0.15903560606060604,1.4645477588564141e-05,0.00034228470809374444,1.4615101738331818e-05,1.4674500521108332e-05,3.944089430385606e-06,8.844078889183333e-05,3.944089430385606e-06,3.944089430385606e-06,44,396,12,119389,3953055
conservative_and,stale,0.05,0.16699808698868493,0.6070158275021362,0.1666968737634806,0.16744306504579104,0.03490235258901671,0.20343059333848315,0.034781646630922404,0.035054169623434085,0.0542111111111111,0.05421111111111111,0.052533333333333335,0.055433333333333334,0.2579997721056187,0.8874631248097813,0.25772791886782653,0.2583997403559864,0.2541748988900789,0.6719293040517028,0.2536344857561006,0.25497182006095287,44,396,657096,62888,3953055
conservative_and,stale,0.1,0.1543693038312329,0.5769938130186919,0.15365983115063322,0.15504562411615322,0.026949894395699427,0.18110144711868995,0.02641353454477261,0.027384120345577856,0.10387777777777779,0.10387777777777779,0.1013,0.10696666666666667,0.24591201806795446,0.8794114987960472,0.2451986311074925,0.24659080472412984,0.23187124368676432,0.6387022510124799,0.23061514597486393,0.23307037808976203,44,396,607295,46234,3953055
conservative_and,stale,0.2,0.12823639002828605,0.5126789390223636,0.1272631250685794,0.12908853018420924,0.015321109245752378,0.13880232562499117,0.014932057423949752,0.01566950816312096,0.2044555555555555,0.20445555555555556,0.2013,0.2081333333333333,0.22014364306057474,0.8603591091765862,0.21914889697931045,0.22101850340053564,0.1874224723495553,0.5675040511218805,0.18582163640137897,0.18882370809489019,44,396,504255,23284,3953055
