policy,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
physics_approval_only,0.1,0.00022749825516627146,0.0020555555555555553,0.00021977445273511516,0.00023214973254692727,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.08289595959595958,0.1034888888888889,0.08208257575757576,0.08442121212121212,0.0011405637712421232,0.010491856118217855,0.0010974781695806159,0.00116800549438745,0.0002934173608419965,0.0027598226067383665,0.00028338187857691595,0.00029939472193311515,44,396,894,10569,3953055
physics_approval_only,0.2,1.926556117852576e-05,0.00019999999999999998,1.9265561178525757e-05,1.9265561178525757e-05,0.0075224567256841355,0.03364991528136956,0.007522456725684136,0.007522456725684136,0.16150479797979797,0.20832222222222221,0.1612310606060606,0.1617590909090909,0.00010920783586090909,0.001960325665964,0.00010920783586090909,0.00010920783586090909,2.4595068046036363e-05,0.0002750004149487,2.4595068046036366e-05,2.4595068046036366e-05,44,396,75,10569,3953055
physics_only_abs_margin,0.05,0.0028674608822779083,0.008366666666666668,0.0027627493940397025,0.003016213797333256,0.003409107042886473,0.02158071073527111,0.0033334047511243575,0.003509297567882548,0.04470580808080809,0.05581111111111111,0.04336363636363637,0.04568939393939394,0.009939419812610857,0.0564054270926529,0.00964322135538639,0.010352908726968054,0.004977598938638141,0.011041618324507644,0.004772100117327984,0.005276670732122341,44,396,11316,3755,3953055
physics_only_abs_margin,0.1,0.0006147126962628247,0.0041,0.000577868475314531,0.0006464243829020492,0.001677837146918895,0.013078354339870634,0.0016419279504015652,0.0017164515760200703,0.08657777777777777,0.10824444444444443,0.08461590909090909,0.08902575757575758,0.0029274743479307526,0.026810640291892323,0.002773835749709382,0.0030571545519353636,0.0008190433893071177,0.005502543832543411,0.0007653640010358902,0.0008651125760826977,44,396,2416,1580,3953055
physics_only_abs_margin,0.2,0.0001068488570970788,0.0011555555555555555,0.00010152582317486516,0.00011067674312332424,0.0003558481236907803,0.003420230393926167,0.00033716843348564467,0.0003702116911713803,0.16850833333333334,0.21534444444444445,0.16594772727272727,0.17156363636363636,0.0005124064865890851,0.004636417879571967,0.0004874902947455743,0.000532055000062794,0.00013872460046381464,0.0015504917619996556,0.00013183556170089471,0.00014362965945202423,44,396,420,311,3953055
physics_residual_margin,0.05,0.0001842883899040207,0.0018666666666666666,0.00016610725651821514,0.0002122533225272947,0.0008617311187300319,0.008969883344628967,0.0008333283158701577,0.0008775422881816788,0.042797727272727265,0.05372222222222222,0.03918939393939394,0.044903030303030306,0.0006497938825936357,0.007326766782456255,0.0005870748900967772,0.0006911800939465099,0.0003253324427808538,0.0025030393367135,0.0002762016188621864,0.0004069486048457705,44,396,729,714,3953055
physics_residual_margin,0.1,6.473453825051944e-05,0.0009,5.6192716466688644e-05,7.430847944546515e-05,0.00024759189669643485,0.0027355616315406332,0.00021880511935256665,0.0002854405356925189,0.08398358585858585,0.1071,0.0828128787878788,0.08620681818181819,0.0002558817954090447,0.0035406677980677113,0.00022480992718403104,0.00030117094421634543,9.432942657615681e-05,0.0012063296160019445,8.348948062257879e-05,0.00010190925553042576,44,396,256,205,3953055
physics_residual_margin,0.2,8.08080808080808e-06,0.00014444444444444444,6.818181818181818e-06,9.848484848484848e-06,1.0962189750018181e-05,0.00019015936420803333,5.905034286256818e-06,1.8152692650014393e-05,0.16600656565656566,0.2162222222222222,0.1642878787878788,0.1687219696969697,3.237415584376565e-05,0.0005396890132978445,2.739957501298788e-05,3.9063415845431815e-05,1.0794805390374747e-05,0.00019719649239715553,9.103665544206818e-06,1.3197892494822727e-05,44,396,32,11,3953055
spread_norm,0.05,0.1618020363770105,0.5996784894773509,0.16113192665175474,0.16265120184378215,0.03292384739950224,0.17834726097508502,0.03226796337699833,0.033771398998797254,0.05283333333333335,0.05283333333333333,0.04986666666666666,0.05553333333333333,0.25203281300338726,0.8830965237690287,0.25168851848035845,0.25266218232277476,0.24451474241455873,0.6638121467053859,0.24358178563845687,0.24594088098493377,44,396,636571,64984,3953055
spread_norm,0.1,0.14950089082686419,0.5712169741598012,0.1480839336885775,0.15022922677588543,0.024679039506862736,0.1490065148475443,0.024042468634692005,0.02551535413927621,0.10175555555555552,0.10175555555555554,0.09896666666666666,0.1039,0.23984993944313251,0.874176309336203,0.23878085767308055,0.2405888028336815,0.2226588696305659,0.6323047643706325,0.22038039627833267,0.22399130570473078,44,396,588056,48921,3953055
